year,campus,campus_display,discipline,college_school_labels,applicants,admits,enrollees,admit_gpa,enrollee_gpa,admit_rate,yield_rate,selectivity_label
2024,UCB,UC Berkeley,Architecture,College Of Environmental Design,2939,211,102,4.14 - 4.28,4.11 - 4.27,7.0,48.0,Most Selective
2024,UCB,UC Berkeley,Arts & Humanities,College Of Letters & Science,8917,2052,854,4.07 - 4.28,4.03 - 4.25,23.0,42.0,Highly Selective
2024,UCB,UC Berkeley,Business,School Of Business Administration,8069,327,191,4.20 - 4.30,4.16 - 4.30,4.0,58.0,Most Selective
2024,UCB,UC Berkeley,Computer Science,"College Of Computing, Data Sci And Soc",13437,515,343,4.20 - 4.30,4.17 - 4.30,4.0,67.0,Most Selective
2024,UCB,UC Berkeley,Engineering,College Of Chemistry; College Of Engineering; College Of Letters & Science,21831,1698,906,4.21 - 4.30,4.19 - 4.30,8.0,53.0,Most Selective
2024,UCB,UC Berkeley,Life Sciences,College Of Letters & Science; College Of Natural Resources,16970,2998,1264,4.16 - 4.29,4.10 - 4.28,18.0,42.0,Highly Selective
2024,UCB,UC Berkeley,Other/Interdisciplinary,College Of Letters & Science; College Of Natural Resources,6847,807,331,4.15 - 4.29,4.11 - 4.27,12.0,41.0,Highly Selective
2024,UCB,UC Berkeley,Physical Sciences/Math,"College Of Chemistry; College Of Computing, Data Sci And Soc; College Of Engineering; College Of Letters & Science",11487,1821,812,4.19 - 4.30,4.14 - 4.29,16.0,45.0,Highly Selective
2024,UCB,UC Berkeley,Public Admin,College Of Letters & Science,260,33,13,4.11 - 4.26,4.06 - 4.25,13.0,39.0,Highly Selective
2024,UCB,UC Berkeley,Public Health,College Of Letters & Science,2713,62,16,4.14 - 4.30,4.11 - 4.30,2.0,26.0,Most Selective
2024,UCB,UC Berkeley,Social Sciences,College Of Environmental Design; College Of Letters & Science,18816,1683,731,4.16 - 4.29,4.11 - 4.28,9.0,43.0,Most Selective
2024,UCB,UC Berkeley,Undeclared,College Of Engineering; College Of Letters & Science; College Of Natural Resources,11956,1432,709,4.11 - 4.29,4.04 - 4.26,12.0,50.0,Highly Selective
2024,UCD,UC Davis,Architecture,College Of Agric & Environ Sciences,601,166,19,4.04 - 4.25,4.06 - 4.25,28.0,11.0,Selective
2024,UCD,UC Davis,Arts & Humanities,College Of Letters & Science,6766,3243,490,3.92 - 4.23,3.76 - 4.08,48.0,15.0,Selective
2024,UCD,UC Davis,Business,College Of Agric & Environ Sciences,2404,800,122,4.03 - 4.27,3.95 - 4.22,33.0,15.0,Selective
2024,UCD,UC Davis,Computer Science,College Of Engineering,6950,1175,97,4.20 - 4.30,4.14 - 4.29,17.0,8.0,Highly Selective
2024,UCD,UC Davis,Education,College Of Agric & Environ Sciences,395,133,24,4.00 - 4.22,3.99 - 4.26,34.0,18.0,Selective
2024,UCD,UC Davis,Engineering,College Of Agric & Environ Sciences; College Of Engineering,16933,6354,1020,4.09 - 4.29,4.00 - 4.26,38.0,16.0,Selective
2024,UCD,UC Davis,Life Sciences,College Of Agric & Environ Sciences; College Of Biological Sciences,23020,11643,2381,4.03 - 4.26,3.96 - 4.22,51.0,20.0,Moderately Accessible
2024,UCD,UC Davis,Other Health Science,College Of Letters & Science,555,321,60,4.03 - 4.24,3.99 - 4.18,58.0,19.0,Moderately Accessible
2024,UCD,UC Davis,Other/Interdisciplinary,College Of Agric & Environ Sciences; College Of Biological Sciences; College Of Letters & Science,6625,2940,453,4.00 - 4.25,3.86 - 4.20,44.0,15.0,Selective
2024,UCD,UC Davis,Physical Sciences/Math,College Of Agric & Environ Sciences; College Of Letters & Science,5909,3476,534,4.03 - 4.27,3.91 - 4.20,59.0,15.0,Moderately Accessible
2024,UCD,UC Davis,Public Admin,College Of Agric & Environ Sciences,130,87,27,3.81 - 4.16,3.72 - 4.15,67.0,31.0,Moderately Accessible
